edge,r,p,q
e205,0.32615955390117624,4.015363952501441e-20,1.1431436717421843e-18
e206,0.19496684265077627,6.928995517660101e-08,1.4004368352776357e-07
e207,0.12526811820507658,0.0005703574361797045,0.0007152831472130148
e208,0.153202589905544,2.4217362675770863e-05,3.4965212018271796e-05
e209,0.27191708962518507,3.1316822778423806e-14,2.042624625665794e-13
e210,0.1885195970370631,1.8748169394157846e-07,3.560005447936461e-07
e211,0.17278915850138768,1.8466314868142317e-06,3.055455773476612e-06
e212,0.27501400178300817,1.5576636219983145e-14,1.086869077060535e-13
e213,0.2287665192065969,2.131797396084462e-10,6.504564272014842e-10
e214,0.24221955541590845,1.625505187712828e-11,6.074657884598173e-11
e215,0.26501140407622326,1.439502141507963e-13,8.182260101687651e-13
e216,0.1897640317847457,1.5511948642494964e-07,2.9853750288747566e-07
e217,0.2915600848595243,3.2030909876421817e-16,3.2721514709486355e-15
e218,0.21342707106610592,3.3152205503999545e-09,8.240430796022869e-09
e219,0.23282589960258362,9.969746257323107e-11,3.2206553132309426e-10
e220,0.2718214246298717,3.199522880283434e-14,2.081415669095794e-13
e221,0.25197176415115025,2.2774549191609823e-12,1.0040175651595823e-11
e222,0.3022867593347557,2.2440724231931388e-17,3.0173676501042883e-16
e223,0.12983393748406521,0.00035431465738682526,0.00045369420770850153
e224,0.3203270225907236,1.9862557716836595e-19,4.54220057979563e-18
e225,0.20062433453554895,2.8128021643413267e-08,6.04871007892721e-08
e226,0.2017914393415074,2.3277761311683145e-08,5.070908047099011e-08
e227,0.30700824600105875,6.719707520477094e-18,1.0270520711021057e-16
e228,0.015112039456172259,0.6788580950522928,0.6885812779214346
e229,0.22739083116189115,2.7491426454179246e-10,8.210706685249392e-10
e230,0.24067003917695567,2.204124586072896e-11,8.033347850338945e-11
e231,0.2569312310081066,8.113660104692185e-13,3.9132776559227945e-12
e232,0.22189063982940022,7.477178529814259e-10,2.072365637093367e-09
e233,0.2400047434059032,2.5103597783323323e-11,9.057368586986665e-11
e234,0.2341016178817302,7.828439362354664e-11,2.5732729321251706e-10
e235,0.16941460998986083,2.9396720331412246e-06,4.733350065499666e-06
e236,0.15263586224193,2.5973640157562132e-05,3.735998837264087e-05
e237,0.22814386072226084,2.3923558975623147e-10,7.220974118229951e-10
e238,0.056397917483993046,0.12204025585132708,0.12953229993287155
e239,-0.016091819695590485,0.6593084891904939,0.6692292239169002
e240,0.28622306833030087,1.1535107891262438e-15,1.0372735970904769e-14
e241,0.3028309427473401,1.955083011606918e-17,2.6702918277953096e-16
e242,0.24243050892664075,1.559239594567642e-11,5.847883138314376e-11
e243,0.2514614411734007,2.5294586332974835e-12,1.1048337752989447e-11
e244,0.20833301847141544,7.890909636878514e-09,1.8489238405025603e-08
e245,0.04393807456148994,0.22848272044699222,0.23891577620173113
e246,0.27035727056491704,4.436874624157682e-14,2.8056499847708257e-13
e247,0.08983900778823148,0.013657365861130718,0.015365308719838381
e248,0.08433630094251653,0.020638154536208677,0.022917207481198187
e249,0.10871696574730964,0.0028155687299999963,0.0033233228854062605
e250,0.2861202358547007,1.1820263021642104e-15,1.057658426846573e-14
e251,0.24358737845701672,1.2401760837205559e-11,4.7333149340312736e-11
e252,0.22584653710507066,3.6504148442578664e-10,1.0690692479872192e-09
e253,0.12466495703872202,0.0006066753344084083,0.0007586777574767375
e254,0.2039292345904351,1.640992694960272e-08,3.661369506638571e-08
e255,0.20343059712225744,1.781021521423163e-08,3.9498861335474136e-08
e256,0.34039205479426843,7.000130662728402e-22,3.3325980906290717e-20
e257,0.12022288194693304,0.000947958989239377,0.0011639651931797126
e258,0.23570161486908117,5.769041829225973e-11,1.9435234874148782e-10
e259,0.24415357728387493,1.1082378905039936e-11,4.269054204612751e-11
